ImageLink,ProductLink,ProductName,ProductPrice,ProductReview
,"/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06291143O5A2T893E1UR&url=%2FOffice-Computer-Ergonomic-Executive-Armrests%2Fdp%2FB07T1P5PMP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-1-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06291143O5A2T893E1UR&url=%2FOffice-Computer-Ergonomic-Executive-Armrests%2Fdp%2FB07T1P5PMP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-1-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf","Office Chair, Mesh Office Computer Swivel Desk Task Chair, Ergonomic Executive Chair with Armrests",79,"4.1 out of 5 stars,2,017"
,"/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02632312CNL3T69AQQIA&url=%2FHalter-Reclining-Leather-Office-Chair%2Fdp%2FB07X2M387M%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-2-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02632312CNL3T69AQQIA&url=%2FHalter-Reclining-Leather-Office-Chair%2Fdp%2FB07X2M387M%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-2-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf",Halter Reclining Leather Office Chair; Modern Executive Height Adjustable Rolling 360 Degrees Swivel Chair with Headrest and Retractable Footrest; White,179,"2.9 out of 5 stars,277"
,"/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0495880DRO7W2JWRKC2&url=%2FSMUGDESK-Computer-Ergonomic-Executive-Armrests%2Fdp%2FB07T1PJGPQ%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-3-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0495880DRO7W2JWRKC2&url=%2FSMUGDESK-Computer-Ergonomic-Executive-Armrests%2Fdp%2FB07T1PJGPQ%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-3-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf","Office Chair, Mid Back Mesh Office Computer Swivel Desk Task Chair, Ergonomic Executive Chair with Armrests",79,"4.2 out of 5 stars,3,200"
,"/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0738870260GB38S2PD4M&url=%2FZLHECTO-Ergonomic-Adjustable-250Ibs-Adjustable-Conference%2Fdp%2FB0851ZV7NM%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-4-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0738870260GB38S2PD4M&url=%2FZLHECTO-Ergonomic-Adjustable-250Ibs-Adjustable-Conference%2Fdp%2FB0851ZV7NM%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1N60K12GUA798%26dchild%3D1%26keywords%3DOffice%2BChair%26qid%3D1601040579%26sprefix%3Dchair%26sr%3D8-4-spons%26psc%3D1&qualifier=1601398729&id=4514840314288231&widgetName=sp_atf","ZLHECTO Ergonomic Office Chair,Mid Back Mesh Chair Black,Computer Desk Chair with Adjustable Height and Mesh Rocking Back,Weight Hold Up to 250Ibs-Adjustable Chair for Conference Room-5 Years Warranty",89,"4.4 out of 5 stars,22"
,"/Hbada-Ergonomic-Computer-Support-Flip-up/dp/B085XQ3YKH/ref=sr_1_5?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-5,/Hbada-Ergonomic-Computer-Support-Flip-up/dp/B085XQ3YKH/ref=sr_1_5?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-5","Hbada Office Chair, Ergonomic Desk Chair, Computer Mesh Chair with Lumbar Support and Flip-up Arms,White",139,"4.2 out of 5 stars,493"
,"/FLOURISH-leather-Executive-Computer-Flip-up/dp/B01HEJ5IXS/ref=sr_1_6?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-6,/FLOURISH-leather-Executive-Computer-Flip-up/dp/B01HEJ5IXS/ref=sr_1_6?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-6",Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests,89,"4.0 out of 5 stars,2,998"
,"/AmazonBasics-High-Back-Leather-Executive-Computer/dp/B082L1F4MS/ref=sr_1_7?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-7,/AmazonBasics-High-Back-Leather-Executive-Computer/dp/B082L1F4MS/ref=sr_1_7?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-7",AmazonBasics High-Back Bonded Leather Executive Office Computer Desk Chair - Black,111,"4.2 out of 5 stars,240"
,"/Office-Computer-Ergonomic-Executive-Armrests/dp/B07T1P5PMP/ref=sr_1_8?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-8,/Office-Computer-Ergonomic-Executive-Armrests/dp/B07T1P5PMP/ref=sr_1_8?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-8","Office Chair, Mesh Office Computer Swivel Desk Task Chair, Ergonomic Executive Chair with Armrests",79,"4.1 out of 5 stars,2,017"
,/SMUGDESK-Ergonomic-Support-Adjustable-Headrest/dp/B08BNYS1QV/ref=sr_1_9?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-9,"SMUGDESK Office Chair Ergonomic Lumbar Support/Adjustable Headrest/Armrest and Wheels/Mesh High Back/Swivel Rolling, Grey",,"4.3 out of 5 stars,12"
,"/Hbada-Ergonomic-Computer-Adjustable-Mid-Back/dp/B08CMVH74B/ref=sr_1_10?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-10,/Hbada-Ergonomic-Computer-Adjustable-Mid-Back/dp/B08CMVH74B/ref=sr_1_10?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-10","Hbada Ergonomic Office Chair, Computer Desk Chair, Swivel and Rocking Task Chair with Strong Shield Type Lumbar Support, Height Adjustable Mid-Back Mesh Chair with Padded Armrest, Black.",119,"5.0 out of 5 stars,7"
,"/ZLHECTO-Ergonomic-Adjustable-Computer-Conference/dp/B07WDBFB9Y/ref=sr_1_11?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-11,/ZLHECTO-Ergonomic-Adjustable-Computer-Conference/dp/B07WDBFB9Y/ref=sr_1_11?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-11","Office Chair, ZLHECTO Ergonomic Desk Chair with Adjustable Height and Lumbar Support, High Back Mesh Computer Chair with Flip up Armrests for Conference Room - 300lb Weight Capacity",149,"4.1 out of 5 stars,352"
,"/ZLHECTO-Mid-Back-Computer-Ergonomic-Upgraded/dp/B07WCW2J5J/ref=sr_1_12?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-12,/ZLHECTO-Mid-Back-Computer-Ergonomic-Upgraded/dp/B07WCW2J5J/ref=sr_1_12?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-12","ZLHECTO Office Chairs, Mid-Back Computer Desk Chairs with Ergonomic Back, Swivel Task Chairs with Thick Cushion, Upgraded Huge Cushion Foam",99,"3.9 out of 5 stars,286"
,"/AmazonBasics-High-Back-Executive-Chair-White/dp/B07GPSQKV9/ref=sr_1_13?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-13,/AmazonBasics-High-Back-Executive-Chair-White/dp/B07GPSQKV9/ref=sr_1_13?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-13","AmazonBasics High-Back, Leather Executive, Swivel, Adjustable Office Desk Chair with Casters, White",133,"4.3 out of 5 stars,12,099"
,"/Flash-Fundamentals-Mid-Back-Swivel-Certified/dp/B084D22F3R/ref=sr_1_14?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-14,/Flash-Fundamentals-Mid-Back-Swivel-Certified/dp/B084D22F3R/ref=sr_1_14?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-14",Flash Fundamentals Mid-Back Gray Mesh Swivel Task Office Chair with Pivot Back and Arms,53,"3.9 out of 5 stars,140"
,"/Ergonomic-Breathable-Computer-Adjustable-backrest/dp/B08DFGCMZ9/ref=sr_1_15?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-15,/Ergonomic-Breathable-Computer-Adjustable-backrest/dp/B08DFGCMZ9/ref=sr_1_15?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-15","BELND Ergonomic Office Chair, Mesh Chair with Lumbar Support, High Back Desk Chair with Breathable Mesh, Breathable Mesh Seat Cushion, Office Computer Desk Chair with Adjustable backrest and headrest",139,"2.8 out of 5 stars,5"
,"/AmazonCommercial-Ergonomic-High-Back-Leather-Executive/dp/B07S57CCXF/ref=sr_1_16?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-16,/AmazonCommercial-Ergonomic-High-Back-Leather-Executive/dp/B07S57CCXF/ref=sr_1_16?crid=1N60K12GUA798&dchild=1&keywords=Office+Chair&qid=1601040579&sprefix=chair&sr=8-16","AmazonCommercial Ergonomic High-Back Bonded Leather Executive Chair with Flip-Up Arms and Lumbar Support, Cream",189,"4.3 out of 5 stars,575"
